symbol,stock_position,change_pct
STOXX600*,602.80,UNCH
DAX*,"24,703.12",UNCH
FTSE*,"10,126.78",-68.57-0.67%
CAC*,"8,062.58",UNCH
FTSE MIB*,"44,713.46",-482.43-1.07%
